<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20220404,000000,82.2500000
USDRUB,D,20220405,000000,83.9925000
USDRUB,D,20220406,000000,82.1150000
USDRUB,D,20220407,000000,78.5000000
USDRUB,D,20220408,000000,79.5000000
USDRUB,D,20220410,000000,80.2500000
USDRUB,D,20220411,000000,82.7500000
USDRUB,D,20220412,000000,85.3625000
USDRUB,D,20220413,000000,81.9250000
USDRUB,D,20220414,000000,81.8750000
USDRUB,D,20220415,000000,82.7500000
USDRUB,D,20220417,000000,82.7500000
USDRUB,D,20220418,000000,80.3750000
USDRUB,D,20220419,000000,80.9679000
USDRUB,D,20220420,000000,82.2500000
USDRUB,D,20220421,000000,80.8626000
USDRUB,D,20220422,000000,76.6250000
USDRUB,D,20220424,000000,76.6250000
USDRUB,D,20220425,000000,75.0250000
USDRUB,D,20220426,000000,74.8750000
USDRUB,D,20220427,000000,73.8810000
USDRUB,D,20220428,000000,72.7522000
USDRUB,D,20220429,000000,70.6000000
USDRUB,D,20220502,000000,70.5608000
USDRUB,D,20220503,000000,68.2539000
USDRUB,D,20220504,000000,65.3750000
USDRUB,D,20220505,000000,64.0750000
USDRUB,D,20220506,000000,67.5000000
USDRUB,D,20220509,000000,68.9500000
USDRUB,D,20220510,000000,68.7500000
USDRUB,D,20220511,000000,66.0000000
USDRUB,D,20220512,000000,65.1145000
USDRUB,D,20220513,000000,64.5000000
USDRUB,D,20220516,000000,63.8750000
USDRUB,D,20220517,000000,64.2500000
USDRUB,D,20220518,000000,63.5000000
USDRUB,D,20220519,000000,62.1176000
USDRUB,D,20220520,000000,61.2500000
USDRUB,D,20220522,000000,60.8394000
USDRUB,D,20220523,000000,58.5856000
USDRUB,D,20220524,000000,56.3750000
USDRUB,D,20220525,000000,60.2000000
USDRUB,D,20220526,000000,64.0000000
USDRUB,D,20220527,000000,65.7500000
USDRUB,D,20220529,000000,65.7500000
USDRUB,D,20220530,000000,63.7500000
USDRUB,D,20220531,000000,62.0000000
USDRUB,D,20220601,000000,63.4823000
USDRUB,D,20220602,000000,62.7500000
USDRUB,D,20220603,000000,62.6100000
USDRUB,D,20220605,000000,63.0000000
USDRUB,D,20220606,000000,61.3812000
USDRUB,D,20220607,000000,61.0000000
USDRUB,D,20220608,000000,60.7400000
USDRUB,D,20220609,000000,58.0124000
USDRUB,D,20220610,000000,55.1250000
USDRUB,D,20220612,000000,57.5000000
USDRUB,D,20220613,000000,57.4804000
USDRUB,D,20220614,000000,58.3542000
USDRUB,D,20220615,000000,57.2212000
USDRUB,D,20220616,000000,58.5348000
USDRUB,D,20220617,000000,56.5000000
USDRUB,D,20220619,000000,56.0000000
USDRUB,D,20220620,000000,54.0000000
USDRUB,D,20220621,000000,53.1250000
USDRUB,D,20220622,000000,54.0000000
USDRUB,D,20220623,000000,54.4869000
USDRUB,D,20220624,000000,53.6000000
USDRUB,D,20220626,000000,53.3708000
USDRUB,D,20220627,000000,53.1000000
USDRUB,D,20220628,000000,53.0000000
USDRUB,D,20220629,000000,51.9783000
USDRUB,D,20220630,000000,54.1250000
USDRUB,D,20220701,000000,55.2500000
USDRUB,D,20220703,000000,53.9495000
USDRUB,D,20220704,000000,56.2500000
USDRUB,D,20220705,000000,61.7500000
USDRUB,D,20220706,000000,62.8000000
USDRUB,D,20220707,000000,63.0679000
USDRUB,D,20220708,000000,63.0000000
USDRUB,D,20220710,000000,64.9074000
USDRUB,D,20220711,000000,64.2500000
USDRUB,D,20220712,000000,58.4195000
USDRUB,D,20220713,000000,58.4568000
USDRUB,D,20220714,000000,58.2678000
USDRUB,D,20220715,000000,55.5000000
USDRUB,D,20220717,000000,55.5000000
USDRUB,D,20220718,000000,57.0075000
USDRUB,D,20220719,000000,56.4543000
USDRUB,D,20220720,000000,54.2500000
USDRUB,D,20220721,000000,58.0053000
USDRUB,D,20220722,000000,57.9250000
USDRUB,D,20220724,000000,58.0948000
USDRUB,D,20220725,000000,57.7500000
USDRUB,D,20220726,000000,60.0473000
USDRUB,D,20220727,000000,59.3575000
USDRUB,D,20220728,000000,61.7500000
USDRUB,D,20220729,000000,61.5000000
USDRUB,D,20220731,000000,61.5000000
USDRUB,D,20220801,000000,60.7500000
USDRUB,D,20220802,000000,59.3750000
USDRUB,D,20220803,000000,60.8600000
USDRUB,D,20220804,000000,61.8456000
USDRUB,D,20220805,000000,60.5349000
USDRUB,D,20220807,000000,60.5153000
USDRUB,D,20220808,000000,61.1250000
USDRUB,D,20220809,000000,60.4649000
USDRUB,D,20220810,000000,61.5024000
USDRUB,D,20220811,000000,60.6188000
USDRUB,D,20220812,000000,60.7500000
USDRUB,D,20220814,000000,61.5011000
USDRUB,D,20220815,000000,61.4846000
USDRUB,D,20220816,000000,61.4873000
USDRUB,D,20220817,000000,60.4716000
USDRUB,D,20220818,000000,59.9819000
USDRUB,D,20220819,000000,58.7500000
USDRUB,D,20220821,000000,59.4858000
USDRUB,D,20220822,000000,60.1236000
USDRUB,D,20220823,000000,59.5000000
USDRUB,D,20220824,000000,59.8105000
USDRUB,D,20220825,000000,60.1500000
USDRUB,D,20220826,000000,59.5500000
USDRUB,D,20220828,000000,60.2923000
USDRUB,D,20220829,000000,61.7500000
USDRUB,D,20220830,000000,59.9679000
USDRUB,D,20220831,000000,59.3750000
USDRUB,D,20220901,000000,59.4600000
USDRUB,D,20220902,000000,60.2562000
USDRUB,D,20220904,000000,60.2988000
USDRUB,D,20220905,000000,60.9478000
USDRUB,D,20220906,000000,61.2743000
USDRUB,D,20220907,000000,62.2850000
USDRUB,D,20220908,000000,61.4778000
USDRUB,D,20220909,000000,59.7800000
USDRUB,D,20220911,000000,60.0713000
USDRUB,D,20220912,000000,59.3200000
USDRUB,D,20220913,000000,61.7350000
USDRUB,D,20220914,000000,59.7118000
USDRUB,D,20220915,000000,59.6139000
USDRUB,D,20220916,000000,59.7500000
USDRUB,D,20220919,000000,60.0700000
USDRUB,D,20220920,000000,61.4148000
USDRUB,D,20220921,000000,61.5692000
USDRUB,D,20220922,000000,59.8969000
USDRUB,D,20220923,000000,56.8700000
USDRUB,D,20220925,000000,56.5000000
USDRUB,D,20220926,000000,58.5350000
USDRUB,D,20220927,000000,58.1500000
USDRUB,D,20220928,000000,57.9340000
USDRUB,D,20220929,000000,56.7500000
USDRUB,D,20220930,000000,59.2000000
USDRUB,D,20221002,000000,60.2238000
USDRUB,D,20221003,000000,58.0211000
USDRUB,D,20221004,000000,59.0165000
USDRUB,D,20221005,000000,60.0000000
USDRUB,D,20221006,000000,60.7500000
USDRUB,D,20221007,000000,60.9500000
USDRUB,D,20221010,000000,62.0000000
USDRUB,D,20221011,000000,65.4302000
USDRUB,D,20221012,000000,63.8000000
